sel,title,artist,top genre,year,bpm,nrgy,dnce,dB,live,val,dur,acous,spch,pop
220,Do I,Luke Bryan,contemporary country,2009.00,138.00,69.00,58.00,-5.00,11.00,30.00,239.00,26.00,3.00,60.00
221,Frankenstein,Claire Rosinkranz,alt z,2021.00,120.00,75.00,83.00,-6.00,18.00,88.00,202.00,13.00,14.00,60.00
222,Disco Man,Remi Wolf,indie pop,2020.00,85.00,68.00,69.00,-8.00,43.00,85.00,192.00,4.00,5.00,60.00
223,I Should Probably Go To Bed,Dan + Shay,contemporary country,2020.00,132.00,28.00,72.00,-7.00,11.00,31.00,172.00,63.00,4.00,59.00
224,Tequila,Dan + Shay,contemporary country,2018.00,86.00,59.00,47.00,-6.00,13.00,50.00,196.00,3.00,3.00,59.00
225,Don't Look Back in Anger,Oasis,beatlesque,2006.00,163.00,94.00,32.00,-2.00,8.00,29.00,294.00,7.00,6.00,59.00
226,The Great Divide,Luke Combs,contemporary country,2021.00,111.00,69.00,67.00,-8.00,28.00,55.00,212.00,60.00,3.00,59.00
227,Lose It,Kane Brown,black americana,2018.00,92.00,85.00,55.00,-5.00,25.00,44.00,179.00,0.00,3.00,59.00
228,Prayed For You,Matt Stell,arkansas country,2019.00,140.00,70.00,60.00,-6.00,11.00,57.00,210.00,7.00,4.00,59.00
229,Without You,Luke Combs,contemporary country,2020.00,142.00,66.00,52.00,-6.00,10.00,36.00,225.00,31.00,3.00,59.00
230,Want It Again,Thomas Rhett,contemporary country,2021.00,91.00,52.00,49.00,-9.00,12.00,37.00,173.00,66.00,3.00,59.00
231,Dangerously,Charlie Puth,dance pop,2016.00,112.00,52.00,70.00,-8.00,20.00,23.00,199.00,36.00,4.00,59.00
232,"I Got You, Honey",Ocie Elliott,indie folk,2017.00,150.00,23.00,55.00,-16.00,11.00,8.00,162.00,97.00,4.00,58.00
233,Just About Over You,Priscilla Block,contemporary country,2020.00,150.00,52.00,53.00,-6.00,11.00,51.00,179.00,54.00,3.00,58.00
234,Photo ID (with Dominic Fike),Remi Wolf,indie pop,2021.00,116.00,83.00,75.00,-5.00,28.00,87.00,210.00,21.00,9.00,58.00
235,Wishful Thinking,BENEE,alt z,2019.00,82.00,66.00,64.00,-6.00,18.00,55.00,213.00,14.00,3.00,58.00
236,Who's Lovin' You,The Jackson 5,adult standards,1969.00,162.00,31.00,25.00,-13.00,28.00,40.00,236.00,65.00,4.00,57.00
237,The Kiss Of Venus (Dominic Fike),Paul McCartney,album rock,2021.00,90.00,37.00,72.00,-7.00,11.00,63.00,144.00,63.00,4.00,57.00
238,Rollerblades,Dominic Fike,alternative pop rock,2019.00,111.00,45.00,57.00,-9.00,10.00,20.00,134.00,54.00,8.00,57.00
239,Giving You Up,Kameron Marlowe,contemporary country,2019.00,144.00,85.00,53.00,-4.00,17.00,75.00,231.00,4.00,4.00,57.00
240,Kinfolks,Sam Hunt,contemporary country,2020.00,76.00,81.00,57.00,-5.00,16.00,88.00,182.00,9.00,5.00,57.00
241,Let Me Down Easy,Billy Currington,contemporary country,2010.00,125.00,50.00,61.00,-5.00,11.00,18.00,228.00,36.00,3.00,57.00
242,Good Girl,Dustin Lynch,contemporary country,2020.00,81.00,70.00,71.00,-5.00,17.00,69.00,190.00,16.00,9.00,57.00
243,Futon,?la,,2020.00,118.00,61.00,85.00,-6.00,11.00,71.00,157.00,73.00,5.00,57.00
244,Crazier Things (with Noah Kahan),Chelsea Cutler,alt z,2020.00,93.00,27.00,64.00,-14.00,16.00,32.00,265.00,81.00,3.00,56.00
245,This Town,Niall Horan,dance pop,2016.00,112.00,41.00,68.00,-8.00,12.00,20.00,233.00,70.00,3.00,56.00
246,Me Without You,Havelin,canadian folk,2019.00,200.00,57.00,57.00,-8.00,10.00,77.00,167.00,2.00,3.00,56.00
247,Hit Me Up,Omar Apollo,bedroom pop,2019.00,85.00,62.00,77.00,-5.00,18.00,63.00,160.00,36.00,10.00,56.00
248,Double Negative (Skeleton Milkshake),Dominic Fike,alternative pop rock,2020.00,154.00,86.00,69.00,-3.00,13.00,64.00,126.00,0.00,16.00,56.00
249,Wouldn't It Be Nice,The Beach Boys,adult standards,2012.00,125.00,66.00,39.00,-7.00,11.00,67.00,154.00,72.00,3.00,56.00
250,Before I Knew It,Mason Ramsey,contemporary country,2019.00,133.00,88.00,63.00,-3.00,39.00,80.00,202.00,22.00,4.00,56.00
251,Remember You Young,Thomas Rhett,contemporary country,2019.00,114.00,51.00,40.00,-6.00,11.00,30.00,180.00,36.00,3.00,56.00
252,Love Ain't,Eli Young Band,contemporary country,2018.00,98.00,85.00,60.00,-5.00,9.00,73.00,186.00,1.00,4.00,56.00
253,Like a Rodeo,Kane Brown,black americana,2019.00,120.00,66.00,67.00,-7.00,22.00,43.00,202.00,70.00,5.00,56.00
254,Beach Boy,BENEE,alt z,2022.00,111.00,67.00,73.00,-6.00,14.00,58.00,193.00,17.00,2.00,56.00
255,@elio.irl,ELIO,alt z,2021.00,105.00,47.00,71.00,-7.00,10.00,77.00,234.00,13.00,3.00,56.00
256,Pool,Still Woozy,bedroom pop,2022.00,100.00,48.00,66.00,-11.00,14.00,27.00,223.00,39.00,6.00,56.00
257,Walk,Kwabs,gauze pop,2014.00,144.00,81.00,62.00,-4.00,22.00,58.00,214.00,17.00,7.00,55.00
258,Put Me in My Place,Muscadine Bloodline,contemporary country,2019.00,105.00,43.00,67.00,-11.00,14.00,41.00,190.00,88.00,8.00,55.00
259,Talking to the Moon - Acoustic Piano,Bruno Mars,dance pop,2010.00,147.00,33.00,36.00,-6.00,11.00,21.00,218.00,86.00,3.00,55.00
260,notice me (feat. BENEE),ROLE MODEL,bedroom pop,2019.00,126.00,48.00,72.00,-7.00,30.00,25.00,192.00,14.00,4.00,55.00
261,Hate The Way (feat. blackbear),G-Eazy,hip hop,2020.00,82.00,87.00,57.00,-4.00,31.00,36.00,214.00,7.00,27.00,54.00
262,u love u (with Tate McRae),blackbear,electropop,2021.00,80.00,70.00,54.00,-6.00,16.00,27.00,189.00,2.00,4.00,54.00
263,the other girl (with Halsey),Kelsea Ballerini,contemporary country,2020.00,180.00,77.00,58.00,-5.00,10.00,79.00,201.00,42.00,16.00,54.00
264,Tango,Onyx Collective,experimental jazz,2021.00,93.00,57.00,71.00,-5.00,10.00,50.00,305.00,28.00,7.00,53.00
265,Bad Idea (feat. Chance the Rapper),Cordae,dmv rap,2019.00,82.00,46.00,73.00,-9.00,11.00,35.00,235.00,31.00,30.00,53.00
266,That Moon Song,Gregory Alan Isakov,indie folk,2009.00,145.00,39.00,26.00,-13.00,15.00,27.00,214.00,65.00,3.00,53.00
267,Glowing in the Dark,The Girl and The Dreamcatcher,post-teen pop,2016.00,104.00,62.00,69.00,-6.00,19.00,71.00,236.00,12.00,3.00,53.00
268,Whiskey Sour,Kane Brown,black americana,2022.00,164.00,35.00,51.00,-9.00,10.00,72.00,210.00,79.00,3.00,53.00
269,865,Morgan Wallen,contemporary country,2021.00,88.00,58.00,53.00,-5.00,10.00,37.00,191.00,72.00,2.00,53.00
270,For My Daughter,Kane Brown,black americana,2019.00,140.00,56.00,54.00,-8.00,13.00,35.00,224.00,28.00,3.00,53.00
271,Bucket List,Mitchell Tenpenny,contemporary country,2021.00,85.00,74.00,56.00,-5.00,8.00,42.00,205.00,5.00,3.00,53.00
272,Somebody’s Problem,Morgan Wallen,contemporary country,2021.00,137.00,54.00,66.00,-8.00,12.00,62.00,162.00,66.00,3.00,53.00
273,To Begin Again,Ingrid Michaelson,acoustic pop,2021.00,76.00,36.00,44.00,-10.00,12.00,12.00,211.00,21.00,6.00,52.00
274,I Don't Belong In This Club,Why Don't We,boy band,2019.00,115.00,54.00,80.00,-6.00,7.00,16.00,223.00,2.00,4.00,52.00
275,Love Someone,Brett Eldredge,adult standards,2017.00,174.00,81.00,42.00,-5.00,7.00,42.00,212.00,22.00,5.00,52.00
276,Grade A (feat. JAWNY),spill tab,indie pop,2021.00,152.00,67.00,72.00,-9.00,12.00,74.00,107.00,9.00,15.00,52.00
277,Cheesin',Cautious Clay,indie r&b,2020.00,120.00,62.00,82.00,-6.00,11.00,97.00,138.00,20.00,4.00,52.00
278,123,Claire Rosinkranz,alt z,2022.00,92.00,72.00,78.00,-4.00,29.00,65.00,138.00,19.00,8.00,52.00
279,the idea,blackbear,electropop,2022.00,109.00,82.00,63.00,-4.00,17.00,49.00,205.00,0.00,3.00,52.00
280,leading me on but i'm not mad about it,remy,modern indie pop,2020.00,98.00,60.00,83.00,-7.00,11.00,48.00,174.00,33.00,4.00,51.00
281,Still Got Time,dexter,,2021.00,85.00,67.00,67.00,-6.00,16.00,80.00,181.00,69.00,22.00,51.00
282,Drift Away,Dobie Gray,northern soul,2017.00,76.00,46.00,51.00,-8.00,65.00,56.00,234.00,33.00,4.00,51.00
283,Let the Moonshine,Luke Combs,contemporary country,2016.00,162.00,83.00,49.00,-5.00,10.00,56.00,209.00,7.00,3.00,51.00
284,More Surprised Than Me,Morgan Wallen,contemporary country,2021.00,85.00,75.00,52.00,-6.00,12.00,43.00,157.00,24.00,3.00,51.00
285,Neon Eyes,Morgan Wallen,contemporary country,2021.00,126.00,84.00,58.00,-5.00,16.00,63.00,226.00,2.00,3.00,51.00
286,Your Bartender,Morgan Wallen,contemporary country,2021.00,140.00,77.00,56.00,-5.00,15.00,44.00,185.00,25.00,3.00,51.00
287,I feel bad,blackbear,electropop,2020.00,144.00,79.00,64.00,-3.00,33.00,92.00,175.00,2.00,5.00,51.00
288,Lonely (with benny blanco) - Acoustic,Justin Bieber,canadian pop,2020.00,169.00,12.00,37.00,-11.00,68.00,12.00,155.00,97.00,4.00,50.00
289,Cover Me Up,Morgan Wallen,contemporary country,2021.00,128.00,44.00,55.00,-8.00,11.00,21.00,294.00,23.00,3.00,50.00
290,Wonderin’ Bout The Wind,Morgan Wallen,contemporary country,2021.00,91.00,72.00,48.00,-6.00,13.00,40.00,182.00,24.00,3.00,50.00
291,Whiskey’d My Way,Morgan Wallen,contemporary country,2021.00,186.00,52.00,44.00,-6.00,10.00,32.00,181.00,60.00,3.00,50.00
292,Better Version,FLETCHER,alt z,2022.00,172.00,34.00,37.00,-11.00,34.00,34.00,174.00,84.00,7.00,50.00
293,Go Around,Kane Brown,black americana,2022.00,124.00,76.00,56.00,-6.00,4.00,37.00,204.00,3.00,3.00,50.00
294,Fuiste Tú (feat. Gaby Moreno),Ricardo Arjona,cantautor,2011.00,140.00,67.00,59.00,-4.00,11.00,27.00,265.00,62.00,4.00,49.00
295,To a T,Ryan Hurd,contemporary country,2019.00,120.00,64.00,69.00,-6.00,11.00,66.00,179.00,17.00,3.00,49.00
296,The Other Side (feat. CeeLo Green and B.o.B),Bruno Mars,dance pop,2010.00,140.00,81.00,56.00,-4.00,13.00,52.00,228.00,10.00,3.00,49.00
297,My Mind Is a Maze,Alann8h,canadian contemporary r&b,2020.00,95.00,22.00,85.00,-11.00,9.00,47.00,147.00,67.00,7.00,49.00
298,parking lot view,almost monday,modern indie pop,2020.00,113.00,88.00,74.00,-5.00,98.00,95.00,179.00,11.00,4.00,49.00
299,In Case You Didn't Know,Brett Young,contemporary country,2017.00,148.00,54.00,61.00,-7.00,10.00,43.00,226.00,39.00,3.00,49.00
300,Still Goin Down,Morgan Wallen,contemporary country,2021.00,148.00,75.00,58.00,-5.00,28.00,72.00,186.00,49.00,3.00,49.00
301,This Bar,Morgan Wallen,contemporary country,2021.00,110.00,88.00,55.00,-5.00,5.00,25.00,185.00,9.00,8.00,49.00
302,So Good - Stripped,Halsey,dance pop,2022.00,82.00,37.00,63.00,-5.00,9.00,28.00,192.00,81.00,3.00,49.00
303,Socks,Dominic Fike,alternative pop rock,2018.00,120.00,49.00,73.00,-7.00,32.00,45.00,131.00,57.00,4.00,48.00
304,"Rednecks, Red Letters, Red Dirt",Morgan Wallen,contemporary country,2021.00,140.00,75.00,55.00,-4.00,12.00,62.00,185.00,16.00,2.00,48.00
305,Me On Whiskey,Morgan Wallen,contemporary country,2021.00,142.00,66.00,57.00,-5.00,8.00,72.00,210.00,43.00,3.00,48.00
306,Livin’ The Dream,Morgan Wallen,contemporary country,2021.00,127.00,75.00,62.00,-6.00,22.00,44.00,239.00,58.00,3.00,48.00
